Designator,Footprint,Quantity,Value,LCSC Part #
ANT1,RF_TI_Antena_2.4GHz_flipped,1,~,
BT1,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,Battery_Cell,
"C1, C14",0402,2,10uF,
"C10, C13, C19, C2, C20, C3, C4, C5, C6, C7",0402,10,100nF,
"C11, C12",0402,2,10pF,
"C15, C16, C17",0402,3,4.7uF,
"C18, C8, C9",0402,3,1uF,
"C21, C22",0402,2,3.3pF,
"D1, D2, D3",D_SMA,3,SS14,
FB1,0402,1,600R,
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
J2,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Pump,
J3,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,1,Soil Sensor,
L1,0402,1,2.2uH,
L2,0402,1,2.2nH,
LDR1,R_LDR_5.1x4.3mm_P3.4mm_Vertical,1,LDR07,
Q1,SOT-23,1,Q_PMOS_GSD,
Q2,SOT-23,1,Q_NMOS_GSD,
"R1, R2",0402,2,5.1K,
"R10, R12",0402,2,562K,
R11,0402,1,100K,
"R13, R9",0402,2,180K,
"R14, R17, R3, R4, R5, R6, R7",0402,7,10K,
"R15, R16",0402,2,4.7K,
R8,0402,1,2M,
"SW1, SW2",SW_Push_SPST_NO_Alps_SKRK,2,SW_Push,
U1,QFN-32-1EP_5x5mm_P0.5mm_EP3.7x3.7mm,1,ESP32-C3,
U2,SOT-666,1,USBLC6-2P6,
U3,Sensirion_DFN-4_1.5x1.5mm_P0.8mm_SHT4x_NoCentralPad,1,SHT4x,
U4,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q16JVSS,
U5,Texas_S-PVSON-N10_ThermalVias,1,TPS61200DRC,
U6,DFN-8-1EP_3x2mm_P0.5mm_EP1.7x1.4mm,1,MCP73831-2-MC,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,40MHz,
