Designator,Mid X,Mid Y,Rotation,Layer
ANT1,137.47,-89.9,0.0,top
BT1,174.499999,-91.75,0.0,bottom
C1,155.75,-92.0,270.0,top
C10,149.6,-88.18,270.0,top
C11,150.8,-75.7,180.0,top
C12,153.0,-74.2,90.0,top
C13,161.5,-84.6,0.0,top
C14,161.5,-83.6,0.0,top
C15,173.2,-85.6,0.0,top
C16,174.3,-89.3,0.0,top
C17,164.6,-83.7,180.0,top
C18,156.51,-88.98,180.0,top
C19,156.51,-90.09,180.0,top
C2,154.0,-83.1,270.0,top
C20,162.0,-87.0,180.0,top
C21,146.1,-77.75,90.0,top
C22,145.1,-77.75,90.0,top
C3,150.6,-83.7,0.0,top
C4,145.2,-80.3,180.0,top
C5,145.2,-81.3,180.0,top
C6,147.4,-76.8,90.0,top
C7,148.9,-76.35,180.0,top
C8,147.0,-73.1,90.0,top
C9,146.0,-73.1,90.0,top
D1,167.71,-92.75,0.0,top
D2,167.7,-89.0,0.0,top
D3,174.5,-79.0,180.0,top
FB1,146.5,-74.6,180.0,top
H1,170.7,-82.1,0.0,top
J1,184.2,-83.5,90.0,top
J2,174.5,-75.0,180.0,top
J3,150.1,-92.25,0.0,top
L1,156.91,-92.01,90.0,top
L2,145.6,-79.25,180.0,top
LDR1,192.530126,-96.89999981356647,120.0,bottom
Q1,166.5,-84.75,0.0,top
Q2,168.0625,-75.1,180.0,top
R1,178.65,-85.25,270.0,top
R10,163.51,-89.49,90.0,top
R11,162.51,-89.49,270.0,top
R12,165.1,-86.3,90.0,top
R13,164.0,-85.2,270.0,top
R14,167.3,-72.6,180.0,top
R15,190.001792,-93.557659,330.0,top
R16,188.451792,-96.242338,330.0,top
R17,191.045448,-95.95,240.0,top
R2,178.0,-82.1,180.0,top
R3,155.2,-87.11,270.0,top
R4,149.6,-86.3,90.0,top
R5,175.175,-85.6,0.0,top
R6,177.55,-87.55,90.0,top
R7,169.25,-86.7,180.0,top
R8,163.51,-91.89,270.0,top
R9,162.51,-91.89,90.0,top
SW1,153.0,-87.11,90.0,top
SW2,147.4,-87.15,90.0,top
U1,150.7,-80.0,90.0,top
U2,175.0,-83.0,180.0,top
U3,189.4,-95.0,330.0,top
U4,157.6,-80.7,180.0,top
U5,159.75,-90.675,0.0,top
U6,174.2,-87.4,270.0,top
Y1,150.4,-73.4,180.0,top
